name,color,deviceType,unit,circuit,savedIndex,,
Unit 11.10 FT 49 LED W,16777215,LOR,17,10,266,,
Unit 11.11 FT 50 LED W,16777215,LOR,17,11,267,,
Unit 11.12 FT 41 LED Gold,65535,LOR,17,12,268,,
Unit 11.13 FT 42 LED Red,255,LOR,17,13,269,,
Unit 11.14 FT 43 LED Red,255,LOR,17,14,270,,
Unit 11.15 FT 44 LED Red,255,LOR,17,15,271,,
Unit 11.16 FT 45 LED Red,255,LOR,17,16,272,,
Unit 12.01 FT 46 LED Red,255,LOR,18,1,273,,
Unit 12.02 FT 47 LED Red,255,LOR,18,2,274,,
Unit 12.03 FT 48 LED Red,255,LOR,18,3,275,,
Unit 12.04 FT 49 LED Red,255,LOR,18,4,276,,
Unit 12.05 FT 50 LED Gold,65535,LOR,18,5,277,,
Unit 12.06 FT 41 LED Green,32768,LOR,18,6,278,,
Unit 12.07 FT 42 LED Blue,16711680,LOR,18,7,279,,
Unit 12.08 FT 43 LED Blue,16711680,LOR,18,8,280,,
Unit 12.09 FT 44 LED Blue,16711680,LOR,18,9,281,,
Unit 12.10 FT 45 LED Blue,16711680,LOR,18,10,282,,
Unit 12.11 FT 46 LED Blue,16711680,LOR,18,11,283,,
Unit 12.12 FT 47 LED Blue,16711680,LOR,18,12,284,,
Unit 12.13 FT 48 LED Blue,16711680,LOR,18,13,285,,
Unit 12.14 FT 49 LED Blue,16711680,LOR,18,14,286,,
Unit 12.15 FT 50 LED Green,32768,LOR,18,15,287,,
Unit 12.16 Halogens 8.3a,8454143,LOR,18,16,288,,
Unit 13.01 12 Strobe Bank  1.3a,16777215,LOR,19,1,289,,
"Unit 13.02 Birch Tree Mix, Gold BBush  1.08a MIXED",33023,LOR,19,2,290,,
"Unit 13.03 Cypress, SAlberto, Sand Ch  0.5a MIXED",33023,LOR,19,3,291,,
Unit 13.04 B Bush Pur/ Pink+Lion c/c  SMan  0.52a MIXED,33023,LOR,19,4,292,,
"Unit 13.05 Alberto Mix LED, Glass Incadescent  1.13a MIXED",33023,LOR,19,5,293,,
"Unit 13.06 Alber B/G, Lion, Jun, Jap Map Birch  0.9a MIXED",33023,LOR,19,6,294,,
Unit 13.07 Maple Tree LED RWhiCandyCane  2.2a MIXED,33023,LOR,19,7,295,,
"Unit 13.08 Blue Spruce, Multi 6.5a MIXED NOFADE",33023,LOR,19,8,296,,
"Unit 13.09 D/W, 6 Tif Star , R/GLED LRope  2.2a MIXED",33023,LOR,19,9,297,,
Unit 13.10 Playset  5.6a MIXED,33023,LOR,19,10,298,,
Unit 13.11 J-5 South+26 Curtain Strobes,4227327,LOR,19,11,299,,
"Unit 13.12 Bumbler, Rhino  1.02a",8454143,LOR,19,12,300,,
"Unit 13.13 Igloo, 4 penguins  2.92a",8454143,LOR,19,13,301,,
Unit 13.14 2 Skiing Polar Bears,8454143,LOR,19,14,302,,
Unit 13.15 Vue,33023,LOR,19,15,303,,
Unit 13.16 J-5 North+26 curtain strobes,4227327,LOR,19,16,304,,
"Unit 14.01 Triangle LED R/G/W, Gold Tree  3.8a MIXED",33023,LOR,20,1,305,,
Unit 14.02 Red Tree+LED tree  1.9a  RED,255,LOR,20,2,306,,
Unit 14.03  Trees on fader  2.6a WHITE,15724527,LOR,20,3,307,,
"Unit 14.04 GOLD Tree-LED Gold Rope, Tree Gold  2.6a GOLD",38293,LOR,20,4,308,,
Unit 14.05 BLUE Tree-LED  0.5a BLUE,16711680,LOR,20,5,309,,
Unit 14.06 RED Pipe Ornament-Red Speres  2.75a   RED,255,LOR,20,6,310,,
Unit 14.07 Deer Female/ Deer Male  1.36a,8454143,LOR,20,7,311,,
Unit 14.08 12 Strobe Bank  1.3a,16777215,LOR,20,8,312,,
Unit 14.09  Arch  1.72a WHITE,15724527,LOR,20,9,313,,
Unit 14.1Trees End of Driveway  2.6a MIXED,33023,LOR,20,10,314,,
"Unit 14.11 Gold Tree LED, Hambush Gold/Red  0.6a GOLD",22446,LOR,20,11,315,,
Unit 14.12  Clear Circle  2.14a  WHITE,15724527,LOR,20,12,316,,
Unit 14.13  Tree by D/W LED Dome Chase  0.5a   WHITE,15724527,LOR,20,13,317,,
Unit 14.14 Pink Bush+D/W  2.91a MIXED,33023,LOR,20,14,318,,
Unit 14.15 Tree-Gold Multi-Tree Bush  3.15a MIXED,33023,LOR,20,15,319,,
Unit 14.16 Heart Red/Clear  2.7a,4210816,LOR,20,16,320,,
Unit 15.01 750watt Strobe  4.9a,16777215,LOR,21,1,321,,
Unit 15.02,12632256,LOR,21,2,322,,
Unit 15.03 P/P  Heart Pink,16744703,LOR,21,3,323,,
Unit 15.04 P/P Heart Purple Outline,16711808,LOR,21,4,324,,
Unit 15.05 J-5 Garage Driveway,4227327,LOR,21,5,325,,
Unit 15.06 Circle 1-1 Red,255,LOR,21,6,326,,
Unit 15.07 Circle 1-2 Red,255,LOR,21,7,327,,
Unit 15.08 Circle 1-3 Red,255,LOR,21,8,328,,
Unit 15.09 Circle 1-4 Red,255,LOR,21,9,329,,
Unit 15.10 Circle 1-5 Red,255,LOR,21,10,330,,
Unit 15.11 Circle 1-6 Red,255,LOR,21,11,331,,
Unit 15.12 Circle 1-7 Red,255,LOR,21,12,332,,
Unit 15.13 Circle 1-8 Red,255,LOR,21,13,333,,
Unit 15.14     Conn 1-1 Red,255,LOR,21,14,334,,
Unit 15.15     Conn 1-2 Re/Gr,16512,LOR,21,15,335,,
Unit 15.16     Conn 1-3 Green,65280,LOR,21,16,336,,
Unit 16.01 Circle 2-1 Green,65280,LOR,22,1,337,,
Unit 16.02 Circle 2-2 Green,65280,LOR,22,2,338,,
Unit 16.03 Circle 2-3 Green,65280,LOR,22,3,339,,
Unit 16.04 Circle 2-4 Green,65280,LOR,22,4,340,,
Unit 16.05 Circle 2-5 Green,65280,LOR,22,5,341,,
Unit 16.06 Circle 2-6 Green,65280,LOR,22,6,342,,
Unit 16.07 Circle 2-7 Green,65280,LOR,22,7,343,,
Unit 16.08 Circle 2-8 Green,65280,LOR,22,8,344,,
Unit 16.09     Conn 2-1 Green,65280,LOR,22,9,345,,
Unit 16.10     Conn 2-2 Gr/Bl,4227072,LOR,22,10,346,,
Unit 16.11      Conn 2-3 Blue,16711680,LOR,22,11,347,,
Unit 16.12 Circle 3-1 Blue,16711680,LOR,22,12,348,,
Unit 16.13 Circle 3-2 Blue,16711680,LOR,22,13,349,,
Unit 16.14 Circle 3-3 Blue,16711680,LOR,22,14,350,,
Unit 16.15 Circle 3-4 Blue,16711680,LOR,22,15,351,,
Unit 16.16 Circle 3-5 Blue,16711680,LOR,22,16,352,,
Unit 17.01 Circle 3-6 Blue,16711680,LOR,23,1,353,,
Unit 17.02 Circle 3-7 Blue,16711680,LOR,23,2,354,,
Unit 17.03 Circle 3-8 Blue,16711680,LOR,23,3,355,,
Unit 17.04     Conn 3-1 Blue,16711680,LOR,23,4,356,,
Unit 17.05     Conn 3-2 Bl/Wh,12171520,LOR,23,5,357,,
Unit 17.06     Conn 3-3 White,16777215,LOR,23,6,358,,
Unit 17.07 Circle 4-1 White,16777215,LOR,23,7,359,,
Unit 17.08 Circle 4-2 White,16777215,LOR,23,8,360,,
Unit 17.09 Circle 4-3 White,16777215,LOR,23,9,361,,
Unit 17.10 Circle 4-4 White,16777215,LOR,23,10,362,,
Unit 17.11 Circle 4-5 White,16777215,LOR,23,11,363,,
Unit 17.12 Circle 4-6 White,16777215,LOR,23,12,364,,
Unit 17.13 Circle 4-7 White,16777215,LOR,23,13,365,,
Unit 17.14 Circle 4-8 White,16777215,LOR,23,14,366,,
Unit 17.15     Conn 4-1 White,16777215,LOR,23,15,367,,
Unit 17.16     Conn 4-2 White,16777215,LOR,23,16,368,,
Unit 18.01     Conn 4-3 White,16777215,LOR,24,1,369,,
Unit 18.02 Circle 5-1 White,16777215,LOR,24,2,370,,
Unit 18.03 Circle 5-2 White,16777215,LOR,24,3,371,,
Unit 18.04 Circle 5-3 White,16777215,LOR,24,4,372,,
Unit 18.05 Circle 5-4 White,16777215,LOR,24,5,373,,
Unit 18.06 Circle 5-5 White,16777215,LOR,24,6,374,,
Unit 18.07 Circle 5-6 White,16777215,LOR,24,7,375,,
Unit 18.08 Circle 5-7 White,16777215,LOR,24,8,376,,
Unit 18.09 Circle 5-8 White,16777215,LOR,24,9,377,,
Unit 18.10     Conn 5-1 White,16777215,LOR,24,10,378,,
Unit 18.11     Conn 5-2 Wh/Bl,10789888,LOR,24,11,379,,
Unit 18.12     Conn 5-3 Blue,16711680,LOR,24,12,380,,
